Versão,Regiões,I/O_e_malloc,num_Threads,Tamanho_entrada,num_Execuções,Tempo_médio_de_execução,Intervalo_de_confiança,,,
OpenMP,Elephant,Com,8,8192,10,"16,31","0,0535",,,
OpenMP,Full,Com,8,16,10,"0,02664","0,0029",,,
OpenMP,Full,Com,8,32,10,"0,0015","0,000366",,,
OpenMP,Full,Com,8,64,10,"0,01066","0,00378",,,
OpenMP,Full,Com,8,128,10,"0,021","0,0045",,,
OpenMP,Full,Com,8,256,10,"0,01817","0,0032",,,
OpenMP,Full,Com,8,512,10,"0,0413","0,0027",,,
OpenMP,Full,Com,8,1024,10,"0,1406","0,0047",,,
OpenMP,Full,Com,8,2048,10,"0,505","0,0052",,,
OpenMP,Full,Com,8,4096,10,"1,977","0,00427",,,
OpenMP,Full,Com,8,8192,10,"7,7445","0,0326",,,
OpenMP,Seahorse,Com,8,16,10,"0,0023","0,0012",,,
OpenMP,Seahorse,Com,8,32,10,"0,00205","0,0007",,,
OpenMP,Seahorse,Com,8,64,10,"0,00233","0,000046",,,
OpenMP,Seahorse,Com,8,128,10,"0,00702","0,0014",,,
OpenMP,Seahorse,Com,8,256,10,"0,028","0,00281",,,
OpenMP,Seahorse,Com,8,512,10,"0,07725","0,0023",,,
OpenMP,Seahorse,Com,8,1024,10,"0,279","0,0024",,,
OpenMP,Seahorse,Com,8,2048,10,"1,097","0,0101",,,
OpenMP,Seahorse,Com,8,4096,10,"4,3139","0,0132",,,
OpenMP,Seahorse,Com,8,8192,10,"16,9166","0,0322",,,
OpenMP,Triple Spiral,Com,8,16,10,"0,025","0,00143",,,
OpenMP,Triple Spiral,Com,8,32,10,"0,0049","0,0029",,,
OpenMP,Triple Spiral,Com,8,64,10,"0,0025","0,00016",,,
OpenMP,Triple Spiral,Com,8,128,10,"0,01916","0,0029",,,
OpenMP,Triple Spiral,Com,8,256,10,"0,02954","0,0033",,,
OpenMP,Triple Spiral,Com,8,512,10,"0,854","0,00213",,,
